picture_ID;well;stage_00;stage_01;stage_02;stage_03;correctly_predicted_00;correctly_predicted_01;correctly_predicted_02;correctly_predicted_03
plate_505/well_I03/position_1.npy_1200_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1500_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1800_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_2100_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_0_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_300_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_600_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_900_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1200_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1500_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1800_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_2100_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_0_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_300_1800;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_1.npy_600_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_900_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1200_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1500_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1800_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_2100_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_0_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_300_600;I03;training;validation;training;training;0;0;0;1
plate_505/well_I03/position_2.npy_600_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_900_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1200_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1500_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1800_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_2100_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_0_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_300_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_600_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_900_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1200_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1500_900;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_2.npy_1800_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_2100_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_0_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_300_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_600_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_900_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1200_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1500_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1800_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_2100_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_0_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_300_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_600_1500;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_2.npy_900_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1200_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1500_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1800_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_2100_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_0_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_300_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_600_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_900_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1200_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1500_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_1800_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_2.npy_2100_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_0_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_300_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_600_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_900_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1200_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1500_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1800_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_2100_650;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_3.npy_0_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_300_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_600_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_900_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1200_950;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_3.npy_1500_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1800_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_2100_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_0_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_300_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_600_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_900_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1200_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1500_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1800_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_2100_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_0_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_300_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_600_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_900_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1200_1550;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_3.npy_1500_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1800_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_2100_1550;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_3.npy_0_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_300_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_600_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_900_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1200_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_1500_1850;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_3.npy_1800_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_3.npy_2100_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_500_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_800_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1100_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1400_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1700_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_2000_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_500_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_800_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1100_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1400_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1700_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_2000_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_500_600;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_4.npy_800_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1100_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1400_600;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_4.npy_1700_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_2000_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_500_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_800_900;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_4.npy_1100_900;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_4.npy_1400_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1700_900;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_4.npy_2000_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_500_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_800_1200;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_4.npy_1100_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1400_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1700_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_2000_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_500_1500;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_4.npy_800_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1100_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1400_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1700_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_2000_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_500_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_800_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1100_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1400_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_1700_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_4.npy_2000_1800;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_5.npy_0_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_300_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_600_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_900_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1200_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1500_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1800_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_2100_0;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_5.npy_0_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_300_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_600_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_900_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1200_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1500_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1800_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_2100_300;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_5.npy_0_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_300_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_600_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_900_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1200_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1500_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1800_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_2100_600;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_5.npy_0_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_300_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_600_900;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_5.npy_900_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1200_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1500_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1800_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_2100_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_0_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_300_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_600_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_900_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1200_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1500_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1800_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_2100_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_0_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_300_1500;I03;training;validation;training;training;0;0;0;1
plate_505/well_I03/position_5.npy_600_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_900_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1200_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1500_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1800_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_2100_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_0_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_300_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_600_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_900_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1200_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1500_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_1800_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_5.npy_2100_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_0_0;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_6.npy_300_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_600_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_900_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1200_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1500_0;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_6.npy_1800_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_2100_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_0_300;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_6.npy_300_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_600_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_900_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1200_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1500_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1800_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_2100_300;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_6.npy_0_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_300_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_600_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_900_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1200_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1500_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1800_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_2100_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_0_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_300_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_600_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_900_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1200_900;I03;training;validation;training;training;0;0;0;1
plate_505/well_I03/position_6.npy_1500_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1800_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_2100_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_0_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_300_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_600_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_900_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1200_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1500_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1800_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_2100_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_0_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_300_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_600_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_900_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1200_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1500_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1800_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_2100_1500;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_0_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_300_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_600_1800;I03;training;validation;training;training;1;0;0;1
plate_505/well_I03/position_6.npy_900_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1200_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1500_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_1800_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_6.npy_2100_1800;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_0_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_300_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_600_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_900_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_1200_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_1500_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_1800_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_2100_0;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_0_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_300_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_600_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_900_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_1200_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_1500_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_1800_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_2100_300;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_0_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_300_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_600_600;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_7.npy_900_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_1200_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_1500_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_1800_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_2100_600;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_7.npy_0_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_7.npy_300_900;I03;training;validation;training;training;0;0;0;0
